track_id,speed
12,0.0
11,24.884466699100262
10,9.23624019698007
9,8.014487257815846
8,26.675273035750035
7,21.25161857900536
6,9.23624019698007
5,2.0036218144539615
4,22.401172891602645
3,11.065363141277897
2,6.414719701389671
1,9.504012754910693
15,47.60446892769985
14,0.0
13,2.833549143867381
17,18.28133354677303
21,27.708720590940207
24,7.629564564420363
25,129.88817431711283
28,74.11369737491547
29,10.068075013513434
32,20.285124807946534
33,17.001294863204286
35,22.51290013278315
41,1.0018109072269807
40,1.4167745719336906
42,176.10513628147612
44,7.629564564420363
47,21.25161857900536
49,158.77991799101778
51,13.176765203726509
57,2.2401172891602643
59,10.83624178297793
58,170.9665968339005
65,32.07359850694835
67,31.0722921631647
73,33.059759938490366
77,33.19608942383369
78,0.0
79,30.649520189282796
83,8.261144374785392
82,32.815998014523174
81,13.953611296175467
80,8.960469156641057
84,18.060402971629884
86,2.833549143867381
87,5.841511207771853
96,14.448322377303905
95,18.28133354677303
97,29.46414271908634
99,2.2401172891602643
103,23.812773421401477
109,1.0018109072269807
107,37.06700356739829
106,50.42005913021177
115,4.130572187392696
114,36.94496078792028
119,7.083872859668454
118,0.0
121,0.0
